fips,year,srf_strict_count,srf_strict_amount,srf_incl_count,srf_incl_amount,srf_strict_amount_real,srf_incl_amount_real
4105800,2025,1.0,4000000.0,1,4000000.0,3088397.6620829697,3088397.6620829697
4123850,2025,1.0,30000.0,1,30000.0,23162.982465622274,23162.982465622274
4131250,2024,1.0,121575.0,1,121575.0,96057.36182988978,96057.36182988978
4159000,2017,,,1,542000.0,,542000.0
4159000,2018,,,1,2400000.0,,2323442.567404037
4159000,2019,,,1,37000000.0,,35429414.07409535
4159000,2020,,,2,4155295.0,,3907629.4457296547
4159000,2022,,,2,3950000.0,,3253974.7919927505
4159000,2023,,,2,7355000.0,,5950021.437874658
4159000,2024,,,1,33250000.0,,26271086.00323944
4159000,2025,,,2,2500000.0,,1930248.538801856
4164900,2025,1.0,1110000.0,1,1110000.0,857030.3512280241,857030.3512280241
423620,2022,1.0,20000000.0,1,20000000.0,16475821.731608864,16475821.731608864
4241216,2013,1.0,7000000.0,1,7000000.0,7287719.15212593,7287719.15212593
4241216,2014,1.0,5500000.0,1,5500000.0,5603610.763008019,5603610.763008019
4241216,2021,1.0,11200000.0,1,11200000.0,9954847.655277848,9954847.655277848
4241216,2023,,,2,5268668.0,,4262228.082806825
4260000,2021,1.0,5794470.0,1,5794470.0,5150273.75831052,5150273.75831052
4260000,2022,4.0,138998500.0,4,138998500.0,114505725.34805173,114505725.34805173
4260000,2024,1.0,63296484.0,1,63296484.0,50011048.8681705,50011048.8681705
4260000,2025,1.0,43893804.0,1,43893804.0,33890380.41338203,33890380.41338203
4261000,2021,,,1,5338254.0,,4744777.260283713
4261000,2022,,,3,18278965.0,,15058048.438915892
4261000,2023,,,1,16544800.0,,13384352.778429454
4261000,2025,,,1,22602586.0,,17451443.439857315
4419180,2025,1.0,150527.0,1,150527.0,116221.8087200908,116221.8087200908
4459000,2023,1.0,1000000.0,1,1000000.0,808976.402158349,808976.402158349
4474300,2021,1.0,11000000.0,1,11000000.0,9777082.518576458,9777082.518576458
4474300,2023,1.0,20004313.99,1,20004313.99,16183017.959276129,16183017.959276129
454050,2019,1.0,6288130.0,1,6288130.0,6021209.770857871,6021209.770857871
454050,2021,1.0,17764029.0,1,17764029.0,15789125.217762293,15789125.217762293
455000,2024,1.0,10170000.0,1,10170000.0,8035396.831667522,8035396.831667522
