state_abb,year,gdp_m
NE,2002,61569.5
NE,2003,66471.7
NE,2004,70445.4
NE,2005,74886.7
NE,2006,79287.5
NE,2007,84291.9
NE,2008,86146.6
NE,2009,87325.5
NE,2010,91940.7
NE,2011,100526.5
NE,2012,102949.7
NE,2013,107247.0
NE,2014,112763.3
NE,2015,117402.3
NE,2016,119389.8
NE,2017,123219.9
NE,2018,127954.4
NE,2019,132848.2
NE,2020,135014.5
NE,2021,150952.5
NE,2022,167840.2
NE,2023,183780.9
NE,2024,189242.7
NV,1997,60255.0
NV,1998,65332.2
NV,1999,71825.3
NV,2000,77181.5
NV,2001,80968.6
NV,2002,85541.0
NV,2003,91365.0
NV,2004,104132.0
NV,2005,117165.1
NV,2006,126613.4
NV,2007,132045.4
NV,2008,130570.9
NV,2009,122471.2
NV,2010,125149.0
NV,2011,128638.4
NV,2012,130238.2
NV,2013,133592.5
NV,2014,136918.4
NV,2015,145786.8
NV,2016,153318.0
NV,2017,163199.1
NV,2018,172547.9
NV,2019,184611.1
NV,2020,176178.7
NV,2021,202091.8
NV,2022,232437.9
NV,2023,253443.3
NV,2024,269010.5
NH,1997,38122.5
NH,1998,40747.7
NH,1999,42292.4
NH,2000,45604.9
NH,2001,47037.3
NH,2002,49109.6
NH,2003,51609.7
NH,2004,54545.7
NH,2005,56914.6
NH,2006,60152.7
NH,2007,61984.8
NH,2008,62095.3
NH,2009,63052.2
NH,2010,65310.8
NH,2011,66557.3
NH,2012,68412.0
NH,2013,70897.4
NH,2014,73455.1
NH,2015,77385.8
NH,2016,79759.7
NH,2017,81179.6
NH,2018,83859.4
NH,2019,87868.2
NH,2020,89041.6
NH,2021,99433.3
NH,2022,106824.6
NH,2023,114427.8
NH,2024,119336.6
NJ,1997,307140.9
NJ,1998,318104.0
NJ,1999,334966.4
NJ,2000,360530.4
NJ,2001,372819.2
NJ,2002,385045.6
NJ,2003,399996.5
NJ,2004,415490.8
NJ,2005,436064.4
NJ,2006,457681.5
NJ,2007,474539.6
NJ,2008,493289.4
NJ,2009,481452.7
NJ,2010,491229.0
NJ,2011,494292.8
NJ,2012,516098.2
NJ,2013,534212.1
NJ,2014,543824.1
NJ,2015,565807.7
NJ,2016,578651.4
NJ,2017,590086.7
NJ,2018,619340.2
NJ,2019,643317.7
NJ,2020,632562.3
NJ,2021,693733.8
NJ,2022,756465.6
NJ,2023,806894.0
NJ,2024,846000.4
NM,1997,52575.6
NM,1998,50573.1
NM,1999,52801.9
NM,2000,55002.2
NM,2001,55660.2
NM,2002,57718.3
NM,2003,62867.9
NM,2004,70593.4
NM,2005,74130.9
NM,2006,78008.2
NM,2007,81100.3
NM,2008,84339.7
NM,2009,82641.3
NM,2010,84862.6
NM,2011,87056.0
NM,2012,87681.0
NM,2013,88773.3
NM,2014,92523.4
NM,2015,90779.4
NM,2016,90476.0
NM,2017,93210.1
NM,2018,98838.2
NM,2019,103821.0
NM,2020,101035.5
NM,2021,113781.7
NM,2022,129469.1
NM,2023,138526.0
NM,2024,147084.9
NY,1997,716104.7
NY,1998,744958.9
NY,1999,794009.5
NY,2000,839853.0
NY,2001,876285.2
NY,2002,885386.2
NY,2003,908535.2
NY,2004,958565.3
NY,2005,1009851.0
NY,2006,1072271.8
NY,2007,1116265.3
NY,2008,1107860.2
NY,2009,1155492.3
NY,2010,1217748.0
NY,2011,1245769.4
NY,2012,1324471.3
NY,2013,1364632.9
NY,2014,1434606.3
NY,2015,1498474.7
NY,2016,1556830.0
NY,2017,1624800.7
NY,2018,1710665.6
NY,2019,1787470.9
NY,2020,1782502.4
NY,2021,1934524.0
NY,2022,2071075.2
NY,2023,2182549.0
NY,2024,2322138.9
NC,1997,234571.9
NC,1998,246721.8
NC,1999,264924.3
NC,2000,277556.1
NC,2001,287317.1
NC,2002,297653.0
NC,2003,310200.3
NC,2004,329017.7
NC,2005,354798.5
NC,2006,388012.1
NC,2007,402188.3
NC,2008,420707.2
NC,2009,413096.8
NC,2010,422282.2
NC,2011,430040.1
NC,2012,444063.2
NC,2013,460946.4
NC,2014,482295.7
NC,2015,508672.4
NC,2016,528284.3
NC,2017,546810.1
NC,2018,568037.3
NC,2019,592449.6
NC,2020,600226.9
NC,2021,660804.7
NC,2022,729761.9
NC,2023,794838.0
NC,2024,844209.0
ND,1997,15796.6
ND,1998,16842.7
ND,1999,17083.7
ND,2000,18115.1
ND,2001,18976.9
ND,2002,20195.6
ND,2003,22129.9
ND,2004,23209.6
ND,2005,24572.0
ND,2006,26406.5
ND,2007,29044.6
ND,2008,32027.7
ND,2009,32310.4
ND,2010,35651.8
ND,2011,41602.1
ND,2012,52079.1
ND,2013,54877.0
ND,2014,61108.3
ND,2015,56952.2
ND,2016,52666.3
ND,2017,56530.2
ND,2018,60377.1
ND,2019,60892.5
ND,2020,56321.4
ND,2021,64830.0
ND,2022,75052.1
ND,2023,77898.1
ND,2024,80058.3
OH,1997,343513.7
OH,1998,361479.3
OH,1999,375797.2
OH,2000,391032.3
OH,2001,395864.2
OH,2002,411191.1
OH,2003,425530.7
OH,2004,447813.3
OH,2005,470179.5
OH,2006,482904.0
OH,2007,497600.1
OH,2008,500916.4
OH,2009,484407.1
OH,2010,500274.2
OH,2011,525456.4
OH,2012,543035.4
OH,2013,566419.9
OH,2014,597152.3
OH,2015,615275.5
OH,2016,627294.7
OH,2017,652187.5
OH,2018,672540.1
OH,2019,702914.8
OH,2020,692938.3
OH,2021,764161.4
OH,2022,830498.8
OH,2023,883957.1
OH,2024,923140.6
OK,1997,79293.7
OK,1998,81778.6
OK,1999,84785.6
OK,2000,91645.7
OK,2001,97505.3
OK,2002,99916.9
OK,2003,106175.1
OK,2004,114237.5
OK,2005,125961.4
OK,2006,138352.3
OK,2007,146582.4
OK,2008,161609.0
OK,2009,147332.4
OK,2010,155267.5
OK,2011,167207.9
OK,2012,175361.2
OK,2013,184104.6
OK,2014,197074.1
OK,2015,187364.7
OK,2016,182238.8
OK,2017,192538.6
OK,2018,204193.9
OK,2019,205992.7
OK,2020,192222.0
OK,2021,219132.4
OK,2022,247541.5
OK,2023,255933.2
OK,2024,263695.1
OR,1997,101418.2
OR,1998,105016.4
OR,1999,107513.2
OR,2000,117057.2
OR,2001,117002.4
OR,2002,120556.1
OR,2003,126822.1
OR,2004,136495.9
OR,2005,143556.3
OR,2006,153779.6
OR,2007,159676.2
OR,2008,164122.9
OR,2009,159330.4
OR,2010,163150.5
OR,2011,169693.8
OR,2012,173856.8
OR,2013,178975.4
OR,2014,187837.6
OR,2015,200592.6
OR,2016,211782.4
OR,2017,225534.5
OR,2018,238466.9
OR,2019,248781.8
OR,2020,250660.6
OR,2021,276367.7
OR,2022,297084.3
OR,2023,314895.0
OR,2024,330250.1
