fips,geo_name,state_abb,facility_count_2022,total_needs_2022,design_flow_2022,tier0_needs,tier1_needs,tier2_needs,tier3_needs
3941664,lakewood,OH,1.0,223456001.71809536,92.0,192800175.0,,19556833.540016577,11098993.178078774
3944856,lorain,OH,3.0,126086772.96175662,40.8,20829484.0,,57984904.84787028,47272384.11388633
3949840,middletown,OH,,53984736.04147398,,,1557086.0,,52427650.04147398
3961000,parma,OH,1.0,582417661.650927,0.0,471671263.0,,70650480.36346215,40095918.28746476
3974118,springfield,OH,2.0,184657667.8062281,50.034,86052745.0,,45256910.0,53348012.8062281
3977000,toledo,OH,3.0,231423097.50681826,204.0,7085903.0,,63160012.0,161177182.50681826
3988000,youngstown,OH,4.0,271295934.11764115,151.1,203353751.0,,,67942183.11764114
4023200,edmond,OK,3.0,83543006.6421285,35.36,33817466.0,,31463022.249568157,18262518.392560333
4023950,enid,OK,2.0,376354407.09900796,17.2,0.0,,360364530.0,15989877.099007955
4041850,lawton,OK,,344303070.1909671,,,,326691291.0,17611779.19096709
404720,avondale,AZ,1.0,24160877.929986507,9.0,23822095.0,273262.0,65520.92998650826,
4048350,midwest city,OK,1.0,17697582.758606423,24.6,3330614.0,,9090464.414738147,5276504.343868275
4052500,norman,OK,1.0,367364298.6803511,124.0,24002674.0,,304726090.0,38635534.68035108
4055000,oklahoma city,OK,6.0,504656661.97850764,176.0,147527136.0,,225967864.3356937,131161661.6428139
4075000,tulsa,OK,2.0,539379529.6504314,85.0,275766533.0,,220842919.0,42770077.65043137
4105350,beaverton,OR,1.0,18189818.94185278,0.0,13928921.0,,4258436.1278984845,2461.813954291916
4105800,bend,OR,2.0,82401133.11946772,14.2,35070140.0,3409854.0,43916777.0,4362.119467726177
4115800,corvallis,OR,1.0,173064562.13425148,19.4,131169726.0,26147885.0,15745130.0,1821.1342514633084
412000,chandler,AZ,4.0,197894179.97018757,45.0,191914577.0,5889713.0,89889.97018756375,
4123850,eugene,OR,3.0,55422406.81539007,273.0,39404253.0,,16012582.460425045,5571.354965026233
4131250,gresham,OR,1.0,8371029.219317216,0.0,2116512.0,,6251569.279035505,2947.9402817117652
4134100,hillsboro,OR,3.0,149423281.35780594,207.1,102029589.0,41787180.0,5603273.089805224,3239.2680007151484
4147000,medford,OR,,25196530.304961476,,,1367766.0,23825211.0,3553.304961475267
4159000,portland,OR,2.0,965580285.3042612,535.0,882395000.0,640741.0,82527812.50326079,16731.801000373613
4164900,salem,OR,2.0,51130445.177877724,0.0,0.0,,51124312.0,6133.1778777236805
4169600,springfield,OR,2.0,65732582.62481444,0.0,58510906.0,1500000.0,5719686.539574954,1990.0852394928902
4202000,allentown,PA,1.0,1076518805.1245837,80.0,698885490.0,1226435.0,376308632.0,98248.1245838226
4206088,bethlehem,PA,1.0,427354493.83060896,40.0,42946034.0,7992904.0,376308632.0,106923.83060894348
4224000,erie,PA,,381775360.42388487,,,3194362.0,378473983.0,107015.42388487147
4232800,harrisburg,PA,,2244838939.753882,,,35307146.0,2209486380.0,45413.75388187677
423620,flagstaff,AZ,6.0,150176181.0,20.7,150150896.0,,25285.0,
4241216,lancaster,PA,,2636036751.8444815,,,1754138.0,2634242187.0,40426.844481247375
4260000,philadelphia,PA,3.0,3012500441.1931076,1044.0,2635440270.0,,376308632.0,751539.193107432
4261000,pittsburgh,PA,4.0,3028053334.742492,500.8,2497465298.0,126504401.0,403773874.0,309761.7424922499
4263624,reading,PA,,2590585007.9232783,,,,2590529950.0,55057.923278171016
4269000,scranton,PA,,2197359995.1636815,,,,2197218434.0,141561.16368138546
427400,gilbert,AZ,4.0,206422527.95433238,41.0,161095048.0,45233449.0,94030.9543323775,
427820,glendale,AZ,5.0,139785767.62359264,16.0,139693841.0,,91926.62359264394,
439370,lake havasu city,AZ,5.0,38733510.0,8.2,22460818.0,15700428.0,572264.0,
4419180,cranston,RI,4.0,102440931.72028062,40.4,42176218.0,,60264713.72028061,
4454640,pawtucket,RI,4.0,32684082.89122774,0.0,14256753.0,,18427329.89122774,
4459000,providence,RI,4.0,490024082.38849163,156.0,437813197.0,13078121.0,39132764.38849166,
446000,mesa,AZ,6.0,186485209.5496303,26.0,186291591.0,,193618.54963031615,
4474300,warwick,RI,7.0,228916818.0,7.7,146214244.0,,82702574.0,
4513330,charleston,SC,3.0,290077049.49330044,73.0,155317264.0,,27160802.05113714,107598983.44216332
4516000,columbia,SC,,151861665.21437114,,,,22554862.0,129306803.21437116
4530850,greenville,SC,1.0,269553379.2346289,0.0,37817067.0,66781124.0,136826043.0,28129145.23462892
454050,peoria,AZ,4.0,171469890.00430542,16.25,132993444.0,38234467.0,241979.00430543194,
455000,phoenix,AZ,9.0,1781974017.7278223,580.0,1781264187.0,,709830.7278222489,
4550875,north charleston,SC,1.0,90929556.05769947,0.0,0.0,,18326829.948862858,72602726.1088366
465000,scottsdale,AZ,6.0,256536872.21165267,67.2,256284888.0,,251984.21165265376,
4652980,rapid city,SD,,237302719.9708924,,,,,237302719.9708924
4659020,sioux falls,SD,,356907230.0291076,,,,648407.0,356258823.0291076
4703440,bartlett,TN,2.0,14101220.370276654,5.4,0.0,,,14101220.370276654
